            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2419422.500000000, A.D. 1912-Jan-21 00:00:00.0000, -6.353396560280200E+00,  2.711960179199187E+00, -2.191593980959248E+00,
2419452.500000000, A.D. 1912-Feb-20 00:00:00.0000, -6.521660091103978E+00,  2.866891865512708E+00, -2.263522407208929E+00,
2419482.500000000, A.D. 1912-Mar-21 00:00:00.0000, -6.685756251015532E+00,  3.020000644792311E+00, -2.334005935526993E+00,
2419512.500000000, A.D. 1912-Apr-20 00:00:00.0000, -6.845942651782805E+00,  3.171352335655971E+00, -2.403125721184033E+00,
2419542.500000000, A.D. 1912-May-20 00:00:00.0000, -7.002450589429336E+00,  3.321008872227109E+00, -2.470955109320662E+00,
2419572.500000000, A.D. 1912-Jun-19 00:00:00.0000, -7.155488781638072E+00,  3.469027948351967E+00, -2.537560696062640E+00,
2419602.500000000, A.D. 1912-Jul-19 00:00:00.0000, -7.305245345560711E+00,  3.615463725356314E+00, -2.603003268378888E+00,
2419632.500000000, A.D. 1912-Aug-18 00:00:00.0000, -7.451891164893524E+00,  3.760368458895667E+00, -2.667338366168198E+00,
2419662.500000000, A.D. 1912-Sep-17 00:00:00.0000, -7.595583013207355E+00,  3.903791626761758E+00, -2.730616896702632E+00,
2419692.500000000, A.D. 1912-Oct-17 00:00:00.0000, -7.736464628126872E+00,  4.045779642457399E+00, -2.792885728683921E+00,
2419722.500000000, A.D. 1912-Nov-16 00:00:00.0000, -7.874668556343338E+00,  4.186376443212695E+00, -2.854188028671960E+00,
2419752.500000000, A.D. 1912-Dec-16 00:00:00.0000, -8.010317160298380E+00,  4.325622529044789E+00, -2.914563739713458E+00,
2419782.500000000, A.D. 1913-Jan-15 00:00:00.0000, -8.143522310231102E+00,  4.463555665460861E+00, -2.974050014851570E+00,
2419812.500000000, A.D. 1913-Feb-14 00:00:00.0000, -8.274387017478045E+00,  4.600212469309845E+00, -3.032681375299684E+00,
2419842.500000000, A.D. 1913-Mar-16 00:00:00.0000, -8.403006817040756E+00,  4.735628040462860E+00, -3.090490013307476E+00,
2419872.500000000, A.D. 1913-Apr-15 00:00:00.0000, -8.529470305656190E+00,  4.869836477440538E+00, -3.147506035234813E+00,
2419902.500000000, A.D. 1913-May-15 00:00:00.0000, -8.653861226969742E+00,  5.002871169032938E+00, -3.203757494373070E+00,
2419932.500000000, A.D. 1913-Jun-14 00:00:00.0000, -8.776259013912018E+00,  5.134763097786543E+00, -3.259270657083419E+00,
2419962.500000000, A.D. 1913-Jul-14 00:00:00.0000, -8.896737871282424E+00,  5.265540880403757E+00, -3.314070234244963E+00,
2419992.500000000, A.D. 1913-Aug-13 00:00:00.0000, -9.015367506556768E+00,  5.395231422698238E+00, -3.368179417991917E+00,
2420022.500000000, A.D. 1913-Sep-12 00:00:00.0000, -9.132212889215033E+00,  5.523859448969260E+00, -3.421620117553418E+00,
2420052.500000000, A.D. 1913-Oct-12 00:00:00.0000, -9.247333742208136E+00,  5.651448791782038E+00, -3.474413088341011E+00,
2420082.500000000, A.D. 1913-Nov-11 00:00:00.0000, -9.360786353111250E+00,  5.778023335541292E+00, -3.526577867309093E+00,
2420112.500000000, A.D. 1913-Dec-11 00:00:00.0000, -9.472624211877452E+00,  5.903606091174537E+00, -3.578132930332724E+00,
2420142.500000000, A.D. 1914-Jan-10 00:00:00.0000, -9.582897877676096E+00,  6.028219434478743E+00, -3.629095775626711E+00,
2420172.500000000, A.D. 1914-Feb-09 00:00:00.0000, -9.691656159872766E+00,  6.151884846174704E+00, -3.679482899250095E+00,
2420202.500000000, A.D. 1914-Mar-11 00:00:00.0000, -9.798945455064679E+00,  6.274621848743853E+00, -3.729310008790256E+00,
2420232.500000000, A.D. 1914-Apr-10 00:00:00.0000, -9.904808842479632E+00,  6.396449013514724E+00, -3.778592107012193E+00,
2420262.500000000, A.D. 1914-May-10 00:00:00.0000, -1.000928721015359E+01,  6.517384500482946E+00, -3.827343442639652E+00,
2420292.500000000, A.D. 1914-Jun-09 00:00:00.0000, -1.011241913217573E+01,  6.637445724013213E+00, -3.875577651787584E+00,
2420322.500000000, A.D. 1914-Jul-09 00:00:00.0000, -1.021424102706663E+01,  6.756650353886644E+00, -3.923307743310274E+00,
2420352.500000000, A.D. 1914-Aug-08 00:00:00.0000, -1.031478885526967E+01,  6.875015785633133E+00, -3.970546022233716E+00,
2420382.500000000, A.D. 1914-Sep-07 00:00:00.0000, -1.041409754134958E+01,  6.992557774177873E+00, -4.017304253726307E+00,
2420412.500000000, A.D. 1914-Oct-07 00:00:00.0000, -1.051220010822173E+01,  7.109291030068558E+00, -4.063593692205943E+00,
2420442.500000000, A.D. 1914-Nov-06 00:00:00.0000, -1.060912819822060E+01,  7.225229064531711E+00, -4.109425072350123E+00,
2420472.500000000, A.D. 1914-Dec-06 00:00:00.0000, -1.070491103309457E+01,  7.340384120581249E+00, -4.154808773618669E+00,
2420502.500000000, A.D. 1915-Jan-05 00:00:00.0000, -1.079957528410692E+01,  7.454768933423821E+00, -4.199754780454134E+00,
2420532.500000000, A.D. 1915-Feb-04 00:00:00.0000, -1.089314677180263E+01,  7.568396766284269E+00, -4.244272616606779E+00,
2420562.500000000, A.D. 1915-Mar-06 00:00:00.0000, -1.098565052576505E+01,  7.681280762486235E+00, -4.288371449315298E+00,
2420592.500000000, A.D. 1915-Apr-05 00:00:00.0000, -1.107711111531989E+01,  7.793434355308380E+00, -4.332060028033108E+00,
2420622.500000000, A.D. 1915-May-05 00:00:00.0000, -1.116755342647937E+01,  7.904869966922193E+00, -4.375346691446150E+00,
2420652.500000000, A.D. 1915-Jun-04 00:00:00.0000, -1.125700125164510E+01,  8.015598304353965E+00, -4.418239535752686E+00,
2420682.500000000, A.D. 1915-Jul-04 00:00:00.0000, -1.134547676096190E+01,  8.125629659938355E+00, -4.460746369062327E+00,
2420712.500000000, A.D. 1915-Aug-03 00:00:00.0000, -1.143300110771544E+01,  8.234973722867794E+00, -4.502874715147719E+00,
2420742.500000000, A.D. 1915-Sep-02 00:00:00.0000, -1.151959378055862E+01,  8.343639851368145E+00, -4.544631911718515E+00,
2420772.500000000, A.D. 1915-Oct-02 00:00:00.0000, -1.160527339191005E+01,  8.451638347429174E+00, -4.586024980807108E+00,
2420802.500000000, A.D. 1915-Nov-01 00:00:00.0000, -1.169005888901670E+01,  8.558979264107968E+00, -4.627060621940339E+00,
2420832.500000000, A.D. 1915-Dec-01 00:00:00.0000, -1.177396863313403E+01,  8.665671672916400E+00, -4.667745333402736E+00,
2420862.500000000, A.D. 1915-Dec-31 00:00:00.0000, -1.185702032766971E+01,  8.771724412477068E+00, -4.708085339814614E+00,
2420892.500000000, A.D. 1916-Jan-30 00:00:00.0000, -1.193923109833584E+01,  8.877145299904498E+00, -4.748086662034117E+00,
2420922.500000000, A.D. 1916-Feb-29 00:00:00.0000, -1.202061631321075E+01,  8.981941569470157E+00, -4.787755235040987E+00,
2420952.500000000, A.D. 1916-Mar-30 00:00:00.0000, -1.210119028322843E+01,  9.086121422196493E+00, -4.827096779431998E+00,
2420982.500000000, A.D. 1916-Apr-29 00:00:00.0000, -1.218096727079691E+01,  9.189693316662989E+00, -4.866116819370538E+00,
2421012.500000000, A.D. 1916-May-29 00:00:00.0000, -1.225996120175621E+01,  9.292665796163371E+00, -4.904820736560697E+00,
2421042.500000000, A.D. 1916-Jun-28 00:00:00.0000, -1.233818657256227E+01,  9.395047708450406E+00, -4.943213636044499E+00,
2421072.500000000, A.D. 1916-Jul-28 00:00:00.0000, -1.241565837622722E+01,  9.496846546832488E+00, -4.981300438216274E+00,
2421102.500000000, A.D. 1916-Aug-27 00:00:00.0000, -1.249239050905313E+01,  9.598068482738025E+00, -5.019085991780536E+00,
2421132.500000000, A.D. 1916-Sep-26 00:00:00.0000, -1.256839597414536E+01,  9.698719472205331E+00, -5.056574970151547E+00,
2421162.500000000, A.D. 1916-Oct-26 00:00:00.0000, -1.264368676099048E+01,  9.798804849005274E+00, -5.093771956218379E+00,
