period,period_dot,class
0.002163557,3.3E-21,X-RAY PULSATOR
0.004533727,1.403E-20,X-RAY PULSATOR
0.005189852,1.762E-20,X-RAY PULSATOR
0.004865453,1.0172E-20,X-RAY PULSATOR
0.106632746,8.68208E-14,X-RAY PULSATOR
0.002896216,7.9931E-21,X-RAY PULSATOR
0.002128906,2.2758E-20,X-RAY PULSATOR
0.110978943,3.61723E-15,X-RAY PULSATOR
0.004570137,8.52963E-21,X-RAY PULSATOR
0.253065165,2.29758E-16,X-RAY PULSATOR
0.00184,,X-RAY PULSATOR
0.163245786,1.76167E-14,X-RAY PULSATOR
0.003050203,1.14235E-20,X-RAY PULSATOR
0.003627028,2.01003E-20,X-RAY PULSATOR
0.154087174,2.14651E-14,X-RAY PULSATOR
0.035908613,3.36768E-15,X-RAY PULSATOR
0.004065916,5.373E-21,X-RAY PULSATOR
0.00265213,2.729E-21,X-RAY PULSATOR
0.287800022,1.04674E-13,X-RAY PULSATOR
0.00429,2.1E-20,X-RAY PULSATOR
0.226518747,1.15683E-15,X-RAY PULSATOR
0.001985256,6.7037E-21,X-RAY PULSATOR
0.003747155,3.02165E-20,X-RAY PULSATOR
0.384928623,5.49412E-14,X-RAY PULSATOR
1.181023297,2.12364E-13,X-RAY PULSATOR
0.00216,2.019E-20,X-RAY PULSATOR
0.002379879,5.24431E-21,X-RAY PULSATOR
0.075658988,1.04678E-14,X-RAY PULSATOR
0.00166,4.6E-21,X-RAY PULSATOR
0.237099442,1.09709E-14,X-RAY PULSATOR
0.068730406,1.31907E-14,X-RAY PULSATOR
0.003478771,7.7874E-21,X-RAY PULSATOR
0.136855047,7.5057E-13,X-RAY PULSATOR
0.002646341,3.8196E-20,X-RAY PULSATOR
0.001607402,1.68515E-20,X-RAY PULSATOR
0.002564393,1.3835E-20,X-RAY PULSATOR
0.001557807,1.05103E-19,X-RAY PULSATOR
0.033392412,4.20972E-13,X-RAY PULSATOR
0.144469765,5.75717E-14,X-RAY PULSATOR
0.003163316,2.81727E-21,X-RAY PULSATOR
0.004665163,3.008E-20,X-RAY PULSATOR
0.004304775,1.8805E-20,X-RAY PULSATOR
0.002721788,2.483E-20,X-RAY PULSATOR
0.003961655,2.744E-20,X-RAY PULSATOR
0.002541554,7.572E-21,X-RAY PULSATOR
0.530660512,1.70932E-15,X-RAY PULSATOR
