period,period_dot,class
0.479098585,6.2E-16,RADIO PULSAR
0.619453557,8.79E-15,RADIO PULSAR
3.241028503,2.7E-15,RADIO PULSAR
0.179486804,2.74416E-15,RADIO PULSAR
0.003539376,1.62E-21,RADIO PULSAR
0.667485534,2.4E-17,RADIO PULSAR
0.792673877,3.09033E-15,RADIO PULSAR
0.419617792,9.46E-16,RADIO PULSAR
2.437432496,6.8E-16,RADIO PULSAR
0.280677974,3.1177E-14,RADIO PULSAR
0.14727431,4.4E-18,RADIO PULSAR
0.842805322,1.68254E-14,RADIO PULSAR
0.373034,,RADIO PULSAR
0.256777653,1.97E-16,RADIO PULSAR
0.047762508,2.2787E-15,RADIO PULSAR
0.383830424,3.87E-16,RADIO PULSAR
0.579576736,3.504E-16,RADIO PULSAR
0.756891934,3.878E-15,RADIO PULSAR
0.32572433,,RADIO PULSAR
0.459606724,1.1208E-15,RADIO PULSAR
0.198335136,1.6918E-14,RADIO PULSAR
0.910319586,8.25E-16,RADIO PULSAR
2.497011696,2.1E-16,RADIO PULSAR
2.764209421,1.108E-14,RADIO PULSAR
0.002772296,,RADIO PULSAR
0.660313372,1.07E-16,RADIO PULSAR
0.433083926,2.57E-16,RADIO PULSAR
1.63084631,2.016E-16,RADIO PULSAR
0.367953256,7.908E-16,RADIO PULSAR
1.163185714,9.247E-15,RADIO PULSAR
0.789212012,8E-17,RADIO PULSAR
4.962427253,2.11E-14,RADIO PULSAR
0.823339271,1.1E-16,RADIO PULSAR
0.967846213,6.33E-15,RADIO PULSAR
0.564759389,6.92E-15,RADIO PULSAR
0.835797468,5.73E-16,RADIO PULSAR
0.663829648,5.6433E-14,RADIO PULSAR
0.399170177,9E-17,RADIO PULSAR
0.44457796,,RADIO PULSAR
1.254051631,5.96E-15,RADIO PULSAR
0.394945791,7.4343E-15,RADIO PULSAR
0.927772239,3.79E-15,RADIO PULSAR
0.592136029,3.555E-15,RADIO PULSAR
0.207953012,3.558E-16,RADIO PULSAR
0.184528095,2.66747E-13,RADIO PULSAR
2.306641554,2.18E-15,RADIO PULSAR
4.862873961,1.5189E-13,RADIO PULSAR
1.351236393,1.32E-16,RADIO PULSAR
0.261270556,1.02E-16,RADIO PULSAR
2.483803693,9.79E-16,RADIO PULSAR
0.196479945,1.52994E-15,RADIO PULSAR
0.271437312,5.25225E-15,RADIO PULSAR
