            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2348577.500000000, A.D. 1718-Feb-01 00:00:00.0000, -7.070876855198560E-01,  6.871270349136467E-01,  4.048044277893842E-04,
2348605.500000000, A.D. 1718-Mar-01 00:00:00.0000, -9.537328606303727E-01,  2.726120302194563E-01,  1.267554349063260E-04,
2348636.500000000, A.D. 1718-Apr-01 00:00:00.0000, -9.672403578739267E-01, -2.561992310121748E-01, -2.110327604255098E-04,
2348666.500000000, A.D. 1718-May-01 00:00:00.0000, -7.241857828375511E-01, -7.022795341372904E-01, -4.832490662857882E-04,
2348697.500000000, A.D. 1718-Jun-01 00:00:00.0000, -2.806124650728630E-01, -9.752373241274838E-01, -6.354255233696314E-04,
2348727.500000000, A.D. 1718-Jul-01 00:00:00.0000,  2.214722621733855E-01, -9.924140340548894E-01, -6.225410776172067E-04,
2348758.500000000, A.D. 1718-Aug-01 00:00:00.0000,  6.811232991841765E-01, -7.517952474940888E-01, -4.481696109321389E-04,
2348789.500000000, A.D. 1718-Sep-01 00:00:00.0000,  9.589993552824194E-01, -3.110149101349874E-01, -1.540996166322084E-04,
2348819.500000000, A.D. 1718-Oct-01 00:00:00.0000,  9.803337964587674E-01,  1.968435236041854E-01,  1.717905710385616E-04,
2348850.500000000, A.D. 1718-Nov-01 00:00:00.0000,  7.346275233706731E-01,  6.656356241501458E-01,  4.608978929637312E-04,
2348880.500000000, A.D. 1718-Dec-01 00:00:00.0000,  2.969066376621361E-01,  9.395105200482418E-01,  6.159102407851143E-04,
2348911.500000000, A.D. 1719-Jan-01 00:00:00.0000, -2.382173561974132E-01,  9.538990900430737E-01,  6.003633981903506E-04,
2348942.500000000, A.D. 1719-Feb-01 00:00:00.0000, -7.039289707294865E-01,  6.902631794472178E-01,  4.090788065829223E-04,
2348970.500000000, A.D. 1719-Mar-01 00:00:00.0000, -9.524087600642095E-01,  2.768356110091624E-01,  1.324652644225659E-04,
2349001.500000000, A.D. 1719-Apr-01 00:00:00.0000, -9.682246628119179E-01, -2.519129023991399E-01, -2.078936255531186E-04,
2349031.500000000, A.D. 1719-May-01 00:00:00.0000, -7.271162430020393E-01, -6.990599579468778E-01, -4.832786776179517E-04,
2349062.500000000, A.D. 1719-Jun-01 00:00:00.0000, -2.847535641247905E-01, -9.739378688781719E-01, -6.384565459193205E-04,
2349092.500000000, A.D. 1719-Jul-01 00:00:00.0000,  2.172217569124061E-01, -9.933014660845513E-01, -6.258694683602200E-04,
2349123.500000000, A.D. 1719-Aug-01 00:00:00.0000,  6.778705518525018E-01, -7.547251659780984E-01, -4.490944973014944E-04,
2349154.500000000, A.D. 1719-Sep-01 00:00:00.0000,  9.576592071509659E-01, -3.152309729925712E-01, -1.526359707678770E-04,
2349184.500000000, A.D. 1719-Oct-01 00:00:00.0000,  9.812509375849692E-01,  1.924726921664676E-01,  1.734485847788710E-04,
2349215.500000000, A.D. 1719-Nov-01 00:00:00.0000,  7.376883971918261E-01,  6.623179197896086E-01,  4.607581479993733E-04,
2349245.500000000, A.D. 1719-Dec-01 00:00:00.0000,  3.012411407112012E-01,  9.381506474530702E-01,  6.131567475347762E-04,
