 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Tru_Anom,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
************************************************************************************************************************************************************************************************
$$SOE
 1717-Mar-01 00:00, , , 13 18 21.78, +21 41 36.0,   17.016,   n.a.,  52.6562840564908,  0.1194095,    0.0000,/*,    0.0007,  170.2667,   0.0059250,  96.356258,  1.8135615,        n.a.     n.a.
 1717-Apr-01 00:00, , , 13 18 37.43, +21 39 06.4,   17.016,   n.a.,  52.6584132649745,  0.1184450,    0.0000,/*,    0.0007,  170.3316,   0.0059252,  96.382378,  1.7987658,        n.a.     n.a.
 1717-May-01 00:00, , , 13 18 52.57, +21 36 41.6,   17.016,   n.a.,  52.6604576814821,  0.1175480,    0.0000,/*,    0.0007,  170.3914,   0.0059255,  96.407852,  1.7849960,        n.a.     n.a.
 1717-Jun-01 00:00, , , 13 19 08.20, +21 34 11.8,   17.017,   n.a.,  52.6625539441152,  0.1166057,    0.0000,/*,    0.0007,  170.4527,   0.0059259,  96.433958,  1.7705082,        n.a.     n.a.
 1717-Jul-01 00:00, , , 13 19 23.32, +21 31 46.8,   17.017,   n.a.,  52.6645660045847,  0.1156412,    0.0000,/*,    0.0007,  170.5166,   0.0059263,  96.458832,  1.7556921,        n.a.     n.a.
 1717-Aug-01 00:00, , , 13 19 38.94, +21 29 16.8,   17.017,   n.a.,  52.6666272490089,  0.1146106,    0.0000,/*,    0.0007,  170.5862,   0.0059267,  96.484322,  1.7398811,        n.a.     n.a.
 1717-Sep-01 00:00, , , 13 19 54.55, +21 26 46.8,   17.017,   n.a.,  52.6686697312984,  0.1135400,    0.0000,/*,    0.0007,  170.6600,   0.0059270,  96.509608,  1.7234769,        n.a.     n.a.
 1717-Oct-01 00:00, , , 13 20 09.65, +21 24 21.6,   17.017,   n.a.,  52.6706280038430,  0.1125112,    0.0000,/*,    0.0007,  170.7329,   0.0059272,  96.534215,  1.7077432,        n.a.     n.a.
 1717-Nov-01 00:00, , , 13 20 25.25, +21 21 51.4,   17.017,   n.a.,  52.6726332665707,  0.1114997,    0.0000,/*,    0.0007,  170.8043,   0.0059274,  96.559951,  1.6922678,        n.a.     n.a.
 1717-Dec-01 00:00, , , 13 20 40.34, +21 19 25.9,   17.018,   n.a.,  52.6745567130587,  0.1105191,    0.0000,/*,    0.0007,  170.8719,   0.0059278,  96.584702,  1.6772412,        n.a.     n.a.
 1718-Jan-01 00:00, , , 13 20 55.92, +21 16 55.5,   17.018,   n.a.,  52.6765262188220,  0.1094826,    0.0000,/*,    0.0007,  170.9430,   0.0059281,  96.609958,  1.6613496,        n.a.     n.a.
 1718-Feb-01 00:00, , , 13 21 11.49, +21 14 25.1,   17.018,   n.a.,  52.6784767528448,  0.1083934,    0.0000,/*,    0.0007,  171.0174,   0.0059286,  96.634707,  1.6446439,        n.a.     n.a.
 1718-Mar-01 00:00, , , 13 21 25.55, +21 12 09.1,   17.018,   n.a.,  52.6802209677642,  0.1073084,    0.0000,/*,    0.0007,  171.0934,   0.0059290,  96.656372,  1.6280285,        n.a.     n.a.
 1718-Apr-01 00:00, , , 13 21 41.11, +21 09 38.5,   17.018,   n.a.,  52.6821309828911,  0.1060489,    0.0000,/*,    0.0007,  171.1854,   0.0059293,  96.680121,  1.6087944,        n.a.     n.a.
 1718-May-01 00:00, , , 13 21 56.16, +21 07 12.6,   17.018,   n.a.,  52.6839578812510,  0.1048354,    0.0000,/*,    0.0007,  171.2766,   0.0059294,  96.703321,  1.5903001,        n.a.     n.a.
 1718-Jun-01 00:00, , , 13 22 11.71, +21 04 41.8,   17.019,   n.a.,  52.6858236736801,  0.1035936,    0.0000,/*,    0.0007,  171.3717,   0.0059295,  96.727532,  1.5713995,        n.a.     n.a.
 1718-Jul-01 00:00, , , 13 22 26.74, +21 02 15.8,   17.019,   n.a.,  52.6876086235650,  0.1024551,    0.0000,/*,    0.0007,  171.4596,   0.0059295,  96.751446,  1.5540807,        n.a.     n.a.
 1718-Aug-01 00:00, , , 13 22 42.27, +20 59 44.9,   17.019,   n.a.,  52.6894328987781,  0.1013315,    0.0000,/*,    0.0007,  171.5448,   0.0059296,  96.776413,  1.5369659,        n.a.     n.a.
 1718-Sep-01 00:00, , , 13 22 57.79, +20 57 13.9,   17.019,   n.a.,  52.6912368146162,  0.1001729,    0.0000,/*,    0.0007,  171.6316,   0.0059298,  96.801022,  1.5193001,        n.a.     n.a.
 1718-Oct-01 00:00, , , 13 23 12.81, +20 54 47.7,   17.019,   n.a.,  52.6929624848729,  0.0990147,    0.0000,/*,    0.0007,  171.7185,   0.0059300,  96.824512,  1.5016406,        n.a.     n.a.
 1718-Nov-01 00:00, , , 13 23 28.31, +20 52 16.5,   17.019,   n.a.,  52.6947241914561,  0.0977669,    0.0000,/*,    0.0007,  171.8127,   0.0059302,  96.848417,  1.4826192,        n.a.     n.a.
 1718-Dec-01 00:00, , , 13 23 43.31, +20 49 50.1,   17.019,   n.a.,  52.6964071600706,  0.0964972,    0.0000,/*,    0.0007,  171.9108,   0.0059303,  96.871229,  1.4632964,        n.a.     n.a.
 1719-Jan-01 00:00, , , 13 23 58.81, +20 47 18.8,   17.020,   n.a.,  52.6981231625318,  0.0951977,    0.0000,/*,    0.0007,  172.0132,   0.0059304,  96.894980,  1.4435473,        n.a.     n.a.
 1719-Feb-01 00:00, , , 13 24 14.29, +20 44 47.4,   17.020,   n.a.,  52.6998162057583,  0.0939240,    0.0000,/*,    0.0007,  172.1137,   0.0059304,  96.918901,  1.4241892,        n.a.     n.a.
 1719-Mar-01 00:00, , , 13 24 28.27, +20 42 30.6,   17.020,   n.a.,  52.7013257077478,  0.0927667,    0.0000,/*,    0.0007,  172.2054,   0.0059304,  96.940453,  1.4066060,        n.a.     n.a.
 1719-Apr-01 00:00, , , 13 24 43.74, +20 39 59.1,   17.020,   n.a.,  52.7029751722390,  0.0914886,    0.0000,/*,    0.0007,  172.3068,   0.0059304,  96.964288,  1.3871870,        n.a.     n.a.
 1719-May-01 00:00, , , 13 24 58.70, +20 37 32.3,   17.020,   n.a.,  52.7045494399864,  0.0902144,    0.0000,/*,    0.0007,  172.4074,   0.0059305,  96.987065,  1.3678193,        n.a.     n.a.
