Date__(UT)_,_HR:MN,,R.,A._,____(I,CRF),___,__DEC,Azi____(a-,app)___Elev,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR
2022-Oct-23,13:00,*m,13,50,51,-11,23,47.9,99.090153,57.174793,-26.753,-10.589,0.994954124,-0.7177625,0,/?,0,2.4611404,110.91459,-1.394739,n.a.,n.a.
2022-Oct-24,13:00,*m,13,54,39.54,-11,44,45.2,99.735214,57.184545,-26.754,-10.589,0.994681743,-0.7169935,0,/?,0,2.4625486,110.72227,-1.39284,n.a.,n.a.
2022-Oct-25,13:00,*m,13,58,28.79,-12,5,31.8,100.374623,57.188248,-26.754,-10.589,0.994409489,-0.7162678,0,/?,0,2.4639051,110.52348,-1.391054,n.a.,n.a.
2022-Oct-26,13:00,*m,14,2,18.76,-12,26,7.3,101.007901,57.185974,-26.755,-10.589,0.994137381,-0.7154607,0,/?,0,2.4652051,110.31822,-1.389144,n.a.,n.a.
2022-Oct-27,13:00,*m,14,6,9.45,-12,46,31.3,101.634579,57.177803,-26.755,-10.589,0.993865516,-0.7144278,0,/?,0,2.466447,110.10649,-1.386831,n.a.,n.a.
2022-Oct-28,13:00,*m,14,10,0.87,-13,6,43.4,102.254195,57.163824,-26.756,-10.589,0.993594075,-0.713019,0,/?,0,2.4676329,109.88831,-1.383824,n.a.,n.a.
2022-Oct-29,13:00,*m,14,13,53.04,-13,26,43,102.866292,57.144135,-26.757,-10.589,0.993323325,-0.7110973,0,/?,0,2.4687687,109.66372,-1.379854,n.a.,n.a.
2022-Oct-30,13:00,*,14,17,45.96,-13,46,29.8,103.470429,57.118838,-26.757,-10.589,0.993053606,-0.7085535,0,/?,0,2.4698634,109.43278,-1.374706,n.a.,n.a.
2022-Oct-31,13:00,*,14,21,39.64,-14,6,3.4,104.066174,57.088038,-26.758,-10.589,0.992785309,-0.7053166,0,/?,0,2.4709283,109.19553,-1.368236,n.a.,n.a.
2022-Nov-01,13:00,*,14,25,34.08,-14,25,23.4,104.65311,57.051846,-26.758,-10.589,0.992518853,-0.7013571,0,/?,0,2.4719754,108.95203,-1.360381,n.a.,n.a.
2022-Nov-02,13:00,*,14,29,29.31,-14,44,29.3,105.230839,57.01037,-26.759,-10.589,0.992254667,-0.6966851,0,/?,0,2.4730166,108.70234,-1.351152,n.a.,n.a.
2022-Nov-03,13:00,*,14,33,25.32,-15,3,20.8,105.79898,56.963726,-26.76,-10.589,0.99199316,-0.6913463,0,/?,0,2.4740627,108.44651,-1.340634,n.a.,n.a.
2022-Nov-04,13:00,*,14,37,22.13,-15,21,57.4,106.357173,56.912029,-26.76,-10.589,0.991734709,-0.6854148,0,/?,0,2.4751231,108.18461,-1.328963,n.a.,n.a.
2022-Nov-05,13:00,*,14,41,19.74,-15,40,18.8,106.905076,56.855399,-26.761,-10.589,0.99147964,-0.678987,0,/?,0,2.4762051,107.91668,-1.316323,n.a.,n.a.
2022-Nov-06,13:00,*,14,45,18.18,-15,58,24.7,107.442364,56.793957,-26.761,-10.589,0.991228219,-0.6721739,0,/?,0,2.4773135,107.64276,-1.302926,n.a.,n.a.
2022-Nov-07,13:00,*,14,49,17.44,-16,16,14.5,107.968729,56.72783,-26.762,-10.589,0.990980648,-0.6650921,0,/?,0,2.4784507,107.36291,-1.288996,n.a.,n.a.
2022-Nov-08,13:00,*,14,53,17.53,-16,33,48,108.483879,56.657147,-26.762,-10.589,0.990737061,-0.6578561,0,/?,0,2.4796168,107.07716,-1.274755,n.a.,n.a.
2022-Nov-09,13:00,*,14,57,18.46,-16,51,4.8,108.987537,56.582046,-26.763,-10.589,0.990497528,-0.6505706,0,/?,0,2.4808096,106.78556,-1.260406,n.a.,n.a.
2022-Nov-10,13:00,*,15,1,20.25,-17,8,4.5,109.479439,56.502666,-26.763,-10.589,0.990262065,-0.6433255,0,/?,0,2.4820255,106.48815,-1.246126,n.a.,n.a.
2022-Nov-11,13:00,*,15,5,22.89,-17,24,46.7,109.959335,56.419155,-26.764,-10.589,0.990030639,-0.6361936,0,/?,0,2.4832598,106.18495,-1.232057,n.a.,n.a.
2022-Nov-12,13:00,*,15,9,26.39,-17,41,11,110.426991,56.331665,-26.764,-10.589,0.989803181,-0.6292313,0,/?,0,2.4845072,105.87602,-1.218311,n.a.,n.a.
2022-Nov-13,13:00,*m,15,13,30.75,-17,57,17,110.882186,56.240353,-26.765,-10.589,0.989579594,-0.6224814,0,/?,0,2.4857625,105.5614,-1.204974,n.a.,n.a.
2022-Nov-14,13:00,*m,15,17,35.97,-18,13,4.4,111.324716,56.14538,-26.765,-10.589,0.98935976,-0.6159771,0,/?,0,2.4870205,105.24113,-1.192111,n.a.,n.a.
2022-Nov-15,13:00,*m,15,21,42.05,-18,28,32.8,111.754392,56.046914,-26.766,-10.589,0.989143542,-0.6097455,0,/?,0,2.488276,104.91527,-1.179778,n.a.,n.a.
2022-Nov-16,13:00,*m,15,25,49,-18,43,41.7,112.171042,55.945123,-26.766,-10.589,0.98893079,-0.6038115,0,/?,0,2.4895239,104.58386,-1.168023,n.a.,n.a.
2022-Nov-17,13:00,*m,15,29,56.8,-18,58,30.9,112.574509,55.840184,-26.767,-10.589,0.988721339,-0.5981981,0,/?,0,2.4907588,104.24697,-1.156895,n.a.,n.a.
2022-Nov-18,13:00,*m,15,34,5.45,-19,12,59.8,112.964654,55.732272,-26.767,-10.589,0.988515014,-0.5929265,0,/?,0,2.4919745,103.90466,-1.146436,n.a.,n.a.
2022-Nov-19,13:00,*m,15,38,14.95,-19,27,8.2,113.341354,55.62157,-26.768,-10.589,0.988311626,-0.5880115,0,/?,0,2.4931638,103.55699,-1.136677,n.a.,n.a.
2022-Nov-20,13:00,*m,15,42,25.29,-19,40,55.5,113.704501,55.508262,-26.768,-10.589,0.988110983,-0.5834542,0,/?,0,2.4943183,103.20402,-1.127624,n.a.,n.a.
2022-Nov-21,13:00,*m,15,46,36.46,-19,54,21.6,114.054007,55.392537,-26.769,-10.589,0.987912897,-0.5792326,0,/?,0,2.4954285,102.84584,-1.119237,n.a.,n.a.
2022-Nov-22,13:00,*m,15,50,48.44,-20,7,25.9,114.389799,55.274587,-26.769,-10.589,0.987717206,-0.5752899,0,/?,0,2.4964841,102.48252,-1.111412,n.a.,n.a.
2022-Nov-23,13:00,*m,15,55,1.23,-20,20,8.1,114.711823,55.154609,-26.769,-10.589,0.987523787,-0.5715269,0,/?,0,2.4974759,102.11416,-1.103962,n.a.,n.a.
2022-Nov-24,13:00,*m,15,59,14.79,-20,32,27.8,115.020039,55.032802,-26.77,-10.589,0.987332593,-0.5678026,0,/?,0,2.4983968,101.74086,-1.096617,n.a.,n.a.
2022-Nov-25,13:00,*m,16,3,29.13,-20,44,24.6,115.314421,54.909367,-26.77,-10.589,0.987143662,-0.5639461,0,/?,0,2.4992439,101.36276,-1.08905,n.a.,n.a.
2022-Nov-26,13:00,*m,16,7,44.21,-20,55,58.2,115.594955,54.784505,-26.771,-10.589,0.986957138,-0.5597798,0,/?,0,2.5000195,100.98002,-1.080919,n.a.,n.a.
2022-Nov-27,13:00,*m,16,12,0.02,-21,7,8.2,115.861635,54.658414,-26.771,-10.589,0.986773262,-0.5551459,0,/?,0,2.5007306,100.59279,-1.071916,n.a.,n.a.
2022-Nov-28,13:00,*,16,16,16.53,-21,17,54.4,116.114466,54.531287,-26.771,-10.589,0.986592352,-0.5499276,0,/?,0,2.5013881,100.20124,-1.061813,n.a.,n.a.
2022-Nov-29,13:00,*,16,20,33.73,-21,28,16.3,116.353464,54.403307,-26.772,-10.589,0.986414784,-0.5440594,0,/?,0,2.5020047,99.805548,-1.050477,n.a.,n.a.
2022-Nov-30,13:00,*,16,24,51.59,-21,38,13.7,116.578655,54.274653,-26.772,-10.589,0.986240953,-0.5375247,0,/?,0,2.5025932,99.405885,-1.03787,n.a.,n.a.
2022-Dec-01,13:00,*,16,29,10.1,-21,47,46.3,116.790077,54.145495,-26.773,-10.589,0.986071254,-0.5303476,0,/?,0,2.5031655,99.002414,-1.024034,n.a.,n.a.
2022-Dec-02,13:00,*,16,33,29.24,-21,56,53.8,116.98778,54.015993,-26.773,-10.589,0.985906056,-0.5225813,0,/?,0,2.5037315,98.595297,-1.009067,n.a.,n.a.
2022-Dec-03,13:00,*,16,37,48.98,-22,5,36,117.171821,53.886304,-26.773,-10.589,0.985745693,-0.5142985,0,/?,0,2.5042994,98.18469,-0.993104,n.a.,n.a.
2022-Dec-04,13:00,*,16,42,9.31,-22,13,52.6,117.342268,53.756577,-26.774,-10.589,0.985590455,-0.5055838,0,/?,0,2.5048753,97.770748,-0.976306,n.a.,n.a.
2022-Dec-05,13:00,*,16,46,30.2,-22,21,43.4,117.499193,53.626958,-26.774,-10.589,0.985440576,-0.4965282,0,/?,0,2.5054636,97.353624,-0.958846,n.a.,n.a.
2022-Dec-06,13:00,*,16,50,51.63,-22,29,8,117.642675,53.497586,-26.774,-10.589,0.985296242,-0.487225,0,/?,0,2.5060669,96.93347,-0.940903,n.a.,n.a.
2022-Dec-07,13:00,*,16,55,13.58,-22,36,6.4,117.772798,53.368599,-26.775,-10.589,0.985157582,-0.4777664,0,/?,0,2.5066863,96.510437,-0.922654,n.a.,n.a.
2022-Dec-08,13:00,*,16,59,36.03,-22,42,38.4,117.889649,53.24013,-26.775,-10.589,0.985024672,-0.46824,0,/?,0,2.5073214,96.084678,-0.904268,n.a.,n.a.
2022-Dec-09,13:00,*,17,3,58.96,-22,48,43.6,117.993316,53.11231,-26.775,-10.589,0.984897542,-0.4587262,0,/?,0,2.5079706,95.656346,-0.8859,n.a.,n.a.
2022-Dec-10,13:00,*,17,8,22.34,-22,54,21.9,118.083892,52.985267,-26.775,-10.589,0.984776176,-0.4492967,0,/?,0,2.5086314,95.225595,-0.86769,n.a.,n.a.
2022-Dec-11,13:00,*,17,12,46.14,-22,59,33.2,118.161472,52.859128,-26.776,-10.589,0.984660519,-0.4400138,0,/?,0,2.5093006,94.792584,-0.849758,n.a.,n.a.
2022-Dec-12,13:00,*,17,17,10.33,-23,4,17.3,118.226153,52.734015,-26.776,-10.589,0.984550483,-0.4309316,0,/?,0,2.5099746,94.357471,-0.83221,n.a.,n.a.
2022-Dec-13,13:00,*m,17,21,34.9,-23,8,34,118.278036,52.610051,-26.776,-10.589,0.98444595,-0.4220976,0,/?,0,2.5106495,93.920419,-0.815139,n.a.,n.a.
2022-Dec-14,13:00,*m,17,25,59.81,-23,12,23.1,118.317222,52.487354,-26.776,-10.589,0.984346776,-0.4135554,0,/?,0,2.5113212,93.481594,-0.798629,n.a.,n.a.
2022-Dec-15,13:00,*m,17,30,25.02,-23,15,44.6,118.343819,52.366042,-26.777,-10.589,0.984252792,-0.4053467,0,/?,0,2.5119853,93.041163,-0.782762,n.a.,n.a.
2022-Dec-16,13:00,*m,17,34,50.52,-23,18,38.3,118.357934,52.246227,-26.777,-10.589,0.984163805,-0.3975131,0,/?,0,2.5126367,92.599294,-0.767619,n.a.,n.a.
2022-Dec-17,13:00,*m,17,39,16.27,-23,21,4,118.35968,52.128023,-26.777,-10.589,0.984079597,-0.3900947,0,/?,0,2.5132695,92.156159,-0.753279,n.a.,n.a.
2022-Dec-18,13:00,*m,17,43,42.22,-23,23,1.8,118.34917,52.011539,-26.777,-10.589,0.983999928,-0.3831264,0,/?,0,2.5138763,91.711929,-0.739809,n.a.,n.a.
2022-Dec-19,13:00,*m,17,48,8.36,-23,24,31.5,118.326524,51.896885,-26.777,-10.589,0.983924543,-0.3766298,0,/?,0,2.5144478,91.266778,-0.727255,n.a.,n.a.
2022-Dec-20,13:00,*m,17,52,34.65,-23,25,33,118.291867,51.784168,-26.777,-10.589,0.983853176,-0.3706008,0,/?,0,2.5149732,90.820888,-0.71561,n.a.,n.a.
2022-Dec-21,13:00,*m,17,57,1.04,-23,26,6.3,118.245329,51.673498,-26.778,-10.589,0.98378558,-0.3649948,0,/?,0,2.5154405,90.374446,-0.704792,n.a.,n.a.
2022-Dec-22,13:00,*m,18,1,27.5,-23,26,11.3,118.187042,51.564982,-26.778,-10.589,0.983721543,-0.3597148,0,/?,0,2.5158379,89.927657,-0.694616,n.a.,n.a.
2022-Dec-23,13:00,*m,18,5,53.99,-23,25,48.1,118.117147,51.45873,-26.778,-10.589,0.983660928,-0.3546099,0,/?,0,2.5161565,89.480742,-0.684797,n.a.,n.a.
2022-Dec-24,13:00,*m,18,10,20.47,-23,24,56.5,118.035779,51.354849,-26.778,-10.589,0.983603694,-0.3494898,0,/?,0,2.5163919,89.033939,-0.674969,n.a.,n.a.
2022-Dec-25,13:00,*m,18,14,46.9,-23,23,36.7,117.943077,51.253444,-26.778,-10.589,0.983549916,-0.3441545,0,/?,0,2.5165462,88.587499,-0.664749,n.a.,n.a.
2022-Dec-26,13:00,*m,18,19,13.24,-23,21,48.6,117.839171,51.154611,-26.778,-10.589,0.983499779,-0.3384289,0,/?,0,2.516627,88.141672,-0.653798,n.a.,n.a.
2022-Dec-27,13:00,*,18,23,39.45,-23,19,32.3,117.724193,51.058441,-26.778,-10.589,0.983453551,-0.3321884,0,/?,0,2.5166464,87.696705,-0.641874,n.a.,n.a.
2022-Dec-28,13:00,*,18,28,5.49,-23,16,47.9,117.598272,50.96501,-26.778,-10.589,0.983411559,-0.325368,0,/?,0,2.516618,87.25283,-0.628847,n.a.,n.a.
2022-Dec-29,13:00,*,18,32,31.33,-23,13,35.5,117.461537,50.874388,-26.779,-10.589,0.983374149,-0.3179563,0,/?,0,2.5165551,86.810265,-0.614692,n.a.,n.a.
2022-Dec-30,13:00,*,18,36,56.93,-23,9,55.1,117.314116,50.786631,-26.779,-10.589,0.98334166,-0.3099816,0,/?,0,2.5164692,86.369213,-0.599458,n.a.,n.a.
2022-Dec-31,13:00,*,18,41,22.27,-23,5,46.9,117.156137,50.701788,-26.779,-10.589,0.983314407,-0.3014965,0,/?,0,2.51637,85.929866,-0.583246,n.a.,n.a.
2023-Jan-01,13:00,*,18,45,47.31,-23,1,11.1,116.987726,50.6199,-26.779,-10.589,0.983292671,-0.2925665,0,/?,0,2.5162647,85.492409,-0.566176,n.a.,n.a.
